program,programme,year,programLink,programLink FR,programLogoLink,programLogoLink FR,sponsor,sponsor FR,sponsorLink,sponsorLink FR,sponsorLogoLink,sponsorLogoLink FR,location,location FR,address,city,province,region,région,totalPlanted,environmentalBenefits,projectGoals,Objectifs,latitude,longitude,imageLink,species,essences,numberPlanted,notes,notes FR
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Various Plantings,Plusieurs sites de plantation,Baie-Comeau,Baie-Comeau,QC,Quebec,Québec,10000,58339 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,49.221311,-68.150407,/images/plantings/2013/2013_various_plantings.png,Jack Pine,Pin gris,10000,8 different zones in the city,8 différentes zones dans la ville
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Various Plantings,Plusieurs sites de plantation,Notre-Dame de la Nativité de Bécancour,Bécancour,QC,Quebec,Québec,10000,5834 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.350542,-72.435106,/images/plantings/2013/2013_various_plantings.png,White Spruce,Épinette Blanche,7500,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Various Plantings,Plusieurs sites de plantation,Notre-Dame de la Nativité de Bécancour,Bécancour,QC,Quebec,Québec,10000,5834 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.350542,-72.435106,/images/plantings/2013/2013_various_plantings.png,Red Maple,Érable Rouge,500,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Various Plantings,Plusieurs sites de plantation,Notre-Dame de la Nativité de Bécancour,Bécancour,QC,Quebec,Québec,10000,5834 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.350542,-72.435106,/images/plantings/2013/2013_various_plantings.png,Tamarack,Mélèze Laricin,1000,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Various Plantings,Plusieurs sites de plantation,Notre-Dame de la Nativité de Bécancour,Bécancour,QC,Quebec,Québec,10000,5834 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.350542,-72.435106,/images/plantings/2013/2013_various_plantings.png,Black Spruce,Épinette Noire,1000,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour,L’île Dorval-Montesson - Notre-Dame de la Nativité de Bécancour
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Municipalité de Deschambault-Grondines,Municipalité de Deschambault-Grondines,505 Principale,Grondines,QC,Quebec,Québec,10000,3202 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.592549,-72.046379,/images/plantings/2013/2013_various_plantings.png,Northern Bush Honeysuckle,Dièreville Chèvrefeuille,305,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Municipalité de Deschambault-Grondines,Municipalité de Deschambault-Grondines,505 Principale,Grondines,QC,Quebec,Québec,10000,3202 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.592549,-72.046379,/images/plantings/2013/2013_various_plantings.png,Red Pine,Pin Rouge,2000,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Municipalité de Deschambault-Grondines,Municipalité de Deschambault-Grondines,505 Principale,Grondines,QC,Quebec,Québec,10000,3202 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.592549,-72.046379,/images/plantings/2013/2013_various_plantings.png,Pussy willow,Saule Marsault,772,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Municipalité de Deschambault-Grondines,Municipalité de Deschambault-Grondines,505 Principale,Grondines,QC,Quebec,Québec,10000,3202 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.592549,-72.046379,/images/plantings/2013/2013_various_plantings.png,Sandbar Willow,Saule Coyote,736,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere
National Greening Program,Programme national de verdissement,2013,https://treecanada.ca/en/programs/national-greening-program/,https://treecanada.ca/fr/programmes/programme-national-de-verdissement/,/images/logos/tree_canada_logo.png,/images/logos/logo_arbres_canada.png,Alcoa,Alcoa,http://www.alcoa.com/,http://www.alcoa.com/canada/fr/info_page/home.asp,/images/logos/alcoa_logo.png,/images/logos/alcoa_logo.png,Municipalité de Deschambault-Grondines,Municipalité de Deschambault-Grondines,505 Principale,Grondines,QC,Quebec,Québec,10000,3202 tonnes of CO2 should approximately be sequestered over an 80-year period*  ,Land Restoration/Reclamation,Restauration et réclamation de terrain,46.592549,-72.046379,/images/plantings/2013/2013_various_plantings.png,Red Osier Dogwood,Cornouiller Soyeux,1032,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere,Culture et Patrimoine Deschambault-Grondines - La graviere La bande riveraine  - la riviere Chevrotiere
